Latitude,Longitude,PredictedClusterID
36.84,-119.696,3
33.936,-118.296,2
38.62,-121.474,1
35.312,-117.987,2
34.438,-116.832,2
33.892,-118.203,2
38.58,-121.534,1
34.07,-117.174,2
33.81,-117.985,2
33.415,-117.601,2
35.573,-120.698,3
33.677,-116.296,2
35.058,-118.174,2
36.729,-119.723,3
32.652,-117.069,2
34.224,-119.071,2
38.258,-122.271,1
37.772,-122.42,1
35.373,-118.994,2
33.935,-118.283,2
39.717,-121.848,1
33.927,-118.292,2
33.923,-118.265,2
36.758,-119.821,3
32.703,-117.118,2
34.165,-117.333,2
34.886,-117.017,2
34.045,-117.2498,2
32.556,-117.047,2
38.719,-121.262,1
35.399,-118.98,2
33.828,-118.293,2
37.749,-122.173,1
38.494,-121.519,1
34.265,-119.27,2
34.107,-117.368,2
33.942,-118.073,2
35.415,-119.034,2
38.62,-121.424,1
33.935,-118.318,2
33.929,-116.977,2
34.108,-117.29,2
40.586,-122.348,1
33.988,-117.904,2
38.642,-121.534,1
34.443,-116.95,2
33.942,-118.353,2
35.275,-119.032,2
40.588,-122.342,1
34.424,-117.32,2
37.653,-121.04,1
34.121,-117.246,2
34.076,-118.09,2
34.536,-117.293,2
34.187,-118.16,2
36.313,-119.288,3
38.648,-121.324,1
38.589,-121.42,1
36.736,-119.748,3
37.379,-121.83,1
38.347,-121.986,1
33.926,-117.47,2
34.01,-118.292,2
33.7,-116.269,2
38.46,-121.841,1
39.141,-121.064,1
33.784,-118.198,2
40.575,-122.381,1
34.158,-117.444,2
34.064,-118.011,2
33.712,-116.292,2
41.735,-122.634,1
33.6667,-117.9135,2
34.05,-117.655,2
38.589,-121.549,1
34.196,-118.338,2
33.976,-117.344,2
37.811,-121.991,1
34.036,-118.187,2
34.024,-118.256,2
37.607,-122.065,1
34.057,-118.274,2
37.552,-122.051,1
34.639,-120.458,3
34.051,-118.264,2
36.341,-119.301,3
34.884,-117.019,2
37.482,-121.94,1
33.877,-117.588,2
33.808,-118.202,2
33.888,-117.215,2
40.564,-122.391,1
37.699,-122.469,1
